Designator,Mid X,Mid Y,Rotation,Layer
R31,64.639469,13.196292,90.0,top
R4,42.989469,39.846292,90.0,top
R5,43.939469,39.846292,90.0,top
R6,57.939469,39.846292,90.0,top
R7,58.889469,39.846292,90.0,top
R8,59.839469,39.846292,90.0,top
R9,60.789469,39.846292,90.0,top
RGB1,50.939469,87.6,0.0,top
RS1,90.288078,18.331292,0.0,bottom
RS10,13.27447,23.641293,270.0,bottom
RS11,91.534469,62.946292,0.0,bottom
RS12,10.324469,29.041291,180.0,bottom
RS2,11.579808,73.606292,180.0,bottom
RS3,92.009468,23.606292,270.0,bottom
RS4,9.874469,68.331292,90.0,bottom
RS5,89.019468,29.001293,180.0,bottom
RS6,12.899469,62.906292,0.0,bottom
RS7,90.249383,73.596292,180.0,bottom
RS8,11.566031,18.366291,0.0,bottom
RS9,88.534469,68.321292,90.0,bottom
SEN_FRONT_D1,79.339469,63.546292,173.0,top
SEN_FRONT_I1,22.489469,63.546292,187.0,top
SEN_PARED_D1,34.289469,86.846292,128.2,top
SEN_PARED_I1,67.489469,86.796292,231.8,top
U1,50.939469,45.983156,180.0,top
U2,13.689469,45.996292,270.0,top
USB1,50.939469,9.446292,0.0,top
Y1,24.564469,16.171292,90.0,top
